Soil Type (Region),pH,N,P,K,Humidity (%),Temp (°C),Best Crops,Fertilizer Recommendation
Lateritic soils (East region),5.0,67.5,7.8,49.3,81.8,27.4,"Sweet Potato, Cocoyam, Plantain, Groundnuts",NPK 20-10-10
Sandy soils (Far North),6.7,56.9,13.2,200.1,37.3,37.6,"Onion, Watermelon",DAP + MOP
"Nitisols (West, Northwest highlands)",6.1,222.2,43.7,186.1,80.4,21.3,"Beans, Irish Potato",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.5,49.8,11.3,67.7,36.4,38.1,"Groundnuts, Millet",Urea + MOP
Fluvisols (River valleys),6.4,215.1,62.6,185.2,88.2,27.8,"Pepper, Beans",Balanced NPK
Sandy soils (Far North),6.9,69.9,9.8,250.4,28.9,31.3,"Sesame, Cowpea, Watermelon",DAP + MOP
"Vertisols (Far North, Diamare plain)",7.1,144.2,19.3,195.4,36.0,38.8,"Sorghum, Sesame",DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.0,39.4,5.8,51.4,44.2,41.3,"Cowpea, Sesame, Onion",Urea + MOP
"Ferralsols (Centre, South forest zone)",5.2,99.0,6.6,99.9,86.2,24.5,"Cassava, Cocoa",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",4.9,187.3,29.4,99.2,88.8,25.7,"Taro, Rice, Sugarcane",Urea + DAP
"Ferralsols (Centre, South forest zone)",5.1,126.4,5.2,82.6,86.6,24.1,"Cocoa, Banana",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.6,130.6,11.9,199.7,34.3,41.9,"Millet, Groundnuts, Sesame, Cowpea",DAP + MOP
"Nitisols (West, Northwest highlands)",6.2,199.2,41.6,180.2,87.6,18.3,"Irish Potato, Arabica Coffee, Carrot, Beans",Urea + DAP
Black soils (Mbam valley),6.7,226.0,45.5,48.6,78.4,24.9,"Maize, Tomato, Rice",Urea + MOP
Lateritic soils (East region),5.2,107.7,9.7,50.4,82.4,30.0,"Cassava, Groundnuts",NPK 20-10-10
Clay soils (Western Highlands),6.7,138.2,21.7,152.1,79.5,19.9,"Maize, Lettuce",Urea + DAP + MOP
"Arenosols (Far North, Sahel fringe)",6.4,71.5,8.9,60.3,35.3,38.4,"Sesame, Millet",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.5,104.5,11.9,225.5,50.1,31.4,"Sesame, Groundnuts, Cotton, Sorghum",DAP + MOP
"Lixisols (Adamawa, North transition)",5.3,74.6,23.6,90.2,63.1,27.5,"Cowpea, Sorghum, Cassava, Maize",NPK 15-15-15
Fluvisols (River valleys),6.9,240.2,47.3,193.6,88.6,23.7,"Pepper, Okra, Beans",Balanced NPK
"Nitisols (West, Northwest highlands)",6.3,172.6,49.8,202.5,86.2,22.7,"Beans, Arabica Coffee",Urea + DAP
"Hydromorphic soils (Coastal, Littoral)",5.6,208.5,28.8,135.7,89.8,26.1,"Rice, Sugarcane, Taro",Urea + DAP
"Volcanic Andosols (NW, Mt. Cameroon)",4.9,253.7,55.9,183.7,88.9,18.2,"Avocado, Irish Potato, Tea, Coffee",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",7.3,70.5,5.5,52.8,42.1,40.0,"Watermelon, Cowpea, Sesame",Urea + MOP
Sandy soils (Far North),7.0,71.8,10.6,248.6,34.3,37.3,"Onion, Sorghum",DAP + MOP
"Lixisols (Adamawa, North transition)",5.6,93.9,17.8,81.6,69.1,24.0,"Yam, Sorghum, Groundnuts",NPK 15-15-15
"Hydromorphic soils (Coastal, Littoral)",5.0,175.0,41.2,141.4,92.3,25.4,"Plantain, Rice",Urea + DAP
"Nitisols (West, Northwest highlands)",6.4,204.7,57.1,199.8,79.9,20.0,"Arabica Coffee, Carrot, Irish Potato",Urea + DAP
Lateritic soils (East region),5.3,72.8,17.7,98.2,71.6,28.0,"Groundnuts, Sweet Potato, Yam, Cassava",NPK 20-10-10
Sandy soils (Far North),6.3,60.5,5.3,228.6,44.5,32.3,"Millet, Sorghum",DAP + MOP
"Lixisols (Adamawa, North transition)",5.1,122.6,12.6,109.7,60.8,29.8,"Groundnuts, Maize, Cassava, Sorghum",NPK 15-15-15
"Nitisols (West, Northwest highlands)",5.6,207.7,41.7,234.6,82.7,18.1,"Carrot, Irish Potato",Urea + DAP
"Volcanic Andosols (NW, Mt. Cameroon)",4.4,179.1,34.1,115.2,89.9,20.2,"Coffee, Cocoa, Banana",Urea + DAP + Lime
Clay soils (Western Highlands),6.8,189.4,38.2,150.4,78.5,20.0,"Maize, Tomato",Urea + DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.4,72.0,7.3,48.0,34.0,38.7,"Sesame, Cowpea",Urea + MOP
"Hydromorphic soils (Coastal, Littoral)",5.2,217.6,41.6,95.2,92.7,25.7,"Taro, Plantain, Sugarcane",Urea + DAP
"Ferralsols (Centre, South forest zone)",5.0,91.3,7.0,56.0,81.1,24.6,"Banana, Cocoa, Pineapple, Cassava",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",6.6,51.4,9.4,37.8,21.3,36.8,"Sesame, Onion",Urea + MOP
"Nitisols (West, Northwest highlands)",5.9,248.9,49.4,190.6,80.4,21.0,"Cabbage, Maize, Carrot",Urea + DAP
"Hydromorphic soils (Coastal, Littoral)",4.8,229.3,40.5,116.2,96.0,24.2,"Taro, Banana, Oil Palm, Plantain",Urea + DAP
Black soils (Mbam valley),6.4,190.3,51.5,78.2,79.4,28.1,"Tomato, Pepper, Rice, Maize",Urea + MOP
"Arenosols (Far North, Sahel fringe)",6.7,34.2,11.9,61.2,41.1,38.1,"Cowpea, Onion, Millet",Urea + MOP
"Hydromorphic soils (Coastal, Littoral)",5.3,166.0,34.6,109.2,97.8,24.1,"Plantain, Taro, Oil Palm, Rice",Urea + DAP
"Volcanic Andosols (NW, Mt. Cameroon)",5.0,191.1,40.4,162.0,97.0,19.4,"Irish Potato, Tea",Urea + DAP + Lime
Lateritic soils (East region),4.9,116.4,5.0,96.3,78.7,28.6,"Cocoyam, Plantain, Yam, Sweet Potato",NPK 20-10-10
"Volcanic Andosols (NW, Mt. Cameroon)",4.8,210.4,59.0,119.9,90.2,18.8,"Coffee, Irish Potato, Plantain, Avocado",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.8,232.4,51.4,117.3,87.6,21.3,"Banana, Coffee, Cocoa",Urea + DAP + Lime
"Lixisols (Adamawa, North transition)",5.2,96.5,16.2,81.0,66.2,23.8,"Cassava, Cowpea, Groundnuts",NPK 15-15-15
"Hydromorphic soils (Coastal, Littoral)",4.9,215.4,27.8,118.2,94.1,28.7,"Taro, Plantain",Urea + DAP
"Hydromorphic soils (Coastal, Littoral)",5.2,185.2,37.9,111.1,96.1,24.5,"Rice, Plantain, Taro, Oil Palm",Urea + DAP
"Ferralsols (Centre, South forest zone)",4.9,76.5,7.3,61.2,89.8,27.4,"Cassava, Pineapple, Plantain, Banana",Urea + DAP + Lime
Clay soils (Western Highlands),7.2,160.8,35.9,155.7,82.4,22.6,"Tomato, Lettuce, Maize",Urea + DAP + MOP
Black soils (Mbam valley),7.0,177.5,48.6,52.1,71.5,27.7,"Tomato, Maize",Urea + MOP
Clay soils (Western Highlands),7.4,196.1,24.4,161.7,82.2,17.6,"Irish Potato, Cabbage, Beans",Urea + DAP + MOP
Sandy soils (Far North),7.3,54.5,5.3,220.1,40.1,37.7,"Cowpea, Sesame, Millet",DAP + MOP
"Arenosols (Far North, Sahel fringe)",6.5,69.2,11.9,72.0,32.2,35.9,"Cowpea, Watermelon, Onion",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,222.3,43.2,126.3,92.2,16.2,"Tea, Cocoa, Irish Potato, Avocado",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",5.3,237.1,40.9,95.2,97.7,27.8,"Sugarcane, Rice, Taro, Banana",Urea + DAP
"Lixisols (Adamawa, North transition)",5.7,87.3,22.9,90.2,65.2,24.8,"Cassava, Cowpea, Yam",NPK 15-15-15
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,245.6,46.4,123.7,90.5,22.6,"Plantain, Avocado",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",5.6,192.6,43.1,89.2,97.3,29.8,"Plantain, Taro",Urea + DAP
Lateritic soils (East region),5.2,76.9,17.6,73.5,81.5,25.9,"Sweet Potato, Groundnuts",NPK 20-10-10
Black soils (Mbam valley),6.2,148.2,36.1,85.9,83.5,26.8,"Pepper, Vegetables, Soybeans, Rice",Urea + MOP
"Ferralsols (Centre, South forest zone)",4.3,107.4,16.0,67.5,88.4,27.9,"Cassava, Banana, Cocoa, Pineapple",Urea + DAP + Lime
Lateritic soils (East region),4.9,100.9,16.5,69.4,83.9,28.6,"Sweet Potato, Cassava, Cocoyam",NPK 20-10-10
"Hydromorphic soils (Coastal, Littoral)",5.5,231.9,35.4,129.0,93.6,25.0,"Sugarcane, Plantain, Banana, Taro",Urea + DAP
"Vertisols (Far North, Diamare plain)",7.8,157.3,18.2,222.3,43.9,36.3,"Sesame, Millet, Cowpea, Cotton",DAP + MOP
Black soils (Mbam valley),7.2,196.6,43.9,51.0,77.2,27.1,"Tomato, Soybeans",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,196.7,48.3,126.3,88.5,22.8,"Plantain, Irish Potato, Cocoa, Coffee",Urea + DAP + Lime
"Lixisols (Adamawa, North transition)",5.5,69.8,10.8,101.9,66.7,30.1,"Maize, Yam",NPK 15-15-15
"Arenosols (Far North, Sahel fringe)",7.3,42.3,7.5,61.7,25.3,39.6,"Millet, Groundnuts, Sesame",Urea + MOP
Lateritic soils (East region),5.4,112.8,11.4,95.6,81.2,29.2,"Sweet Potato, Yam, Groundnuts",NPK 20-10-10
Lateritic soils (East region),5.0,112.2,9.4,47.5,81.7,27.7,"Groundnuts, Cassava, Yam",NPK 20-10-10
"Vertisols (Far North, Diamare plain)",7.3,101.2,20.3,272.6,41.1,33.5,"Cotton, Groundnuts, Sorghum, Millet",DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",4.8,191.1,33.0,92.1,90.9,24.1,"Oil Palm, Taro",Urea + DAP
Black soils (Mbam valley),6.4,208.5,46.1,86.8,74.0,24.8,"Tomato, Rice, Vegetables, Pepper",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.6,115.6,15.7,195.6,46.2,32.4,"Millet, Groundnuts, Cowpea",DAP + MOP
Sandy soils (Far North),7.1,41.0,9.4,207.4,44.4,31.7,"Onion, Sesame",DAP + MOP
"Vertisols (Far North, Diamare plain)",7.1,136.0,18.7,252.7,33.8,40.2,"Cotton, Sorghum, Groundnuts",DAP + MOP
"Vertisols (Far North, Diamare plain)",7.6,130.1,8.1,212.7,49.1,34.4,"Groundnuts, Millet, Cowpea, Cotton",DAP + MOP
"Ferralsols (Centre, South forest zone)",4.3,89.7,9.7,92.5,79.2,26.1,"Pineapple, Cocoa, Plantain, Banana",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.5,99.1,12.0,235.6,35.7,40.4,"Sorghum, Cotton, Sesame, Groundnuts",DAP + MOP
"Vertisols (Far North, Diamare plain)",7.0,146.5,8.6,200.4,41.9,32.4,"Cowpea, Cotton, Sesame",DAP + MOP
Fluvisols (River valleys),5.9,254.3,61.5,190.8,80.5,23.1,"Maize, Pepper, Tomato",Balanced NPK
"Arenosols (Far North, Sahel fringe)",7.1,56.8,8.1,71.1,41.3,33.6,"Millet, Sesame, Groundnuts, Onion",Urea + MOP
"Hydromorphic soils (Coastal, Littoral)",5.0,232.2,26.3,153.4,94.1,28.1,"Plantain, Oil Palm",Urea + DAP
"Nitisols (West, Northwest highlands)",5.8,192.6,51.9,201.8,82.1,18.9,"Irish Potato, Cabbage, Carrot, Beans",Urea + DAP
Clay soils (Western Highlands),7.6,154.2,29.5,197.6,87.9,20.1,"Cabbage, Beans, Maize, Carrot",Urea + DAP + MOP
Lateritic soils (East region),5.1,88.2,12.7,78.6,81.9,29.9,"Yam, Cassava, Sweet Potato",NPK 20-10-10
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,228.2,58.4,141.2,91.9,20.5,"Avocado, Irish Potato, Banana, Plantain",Urea + DAP + Lime
Clay soils (Western Highlands),7.3,180.9,26.8,181.9,86.2,18.5,"Cabbage, Tomato, Beans, Maize",Urea + DAP + MOP
"Ferralsols (Centre, South forest zone)",4.5,111.4,13.0,55.7,91.1,28.8,"Pineapple, Cassava",Urea + DAP + Lime
"Lixisols (Adamawa, North transition)",5.3,69.3,15.2,91.8,70.7,28.1,"Cassava, Maize, Yam",NPK 15-15-15
"Hydromorphic soils (Coastal, Littoral)",4.7,216.0,27.9,133.6,91.3,28.2,"Sugarcane, Rice",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.2,58.9,10.3,72.7,31.3,33.3,"Millet, Groundnuts, Watermelon",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.2,232.4,39.7,160.3,92.9,21.2,"Tea, Plantain",Urea + DAP + Lime
Sandy soils (Far North),6.3,63.0,6.5,257.7,33.7,34.3,"Cowpea, Watermelon, Sorghum",DAP + MOP
Fluvisols (River valleys),6.6,212.6,45.8,185.7,74.9,28.5,"Rice, Okra",Balanced NPK
Black soils (Mbam valley),6.9,178.2,31.3,70.4,82.0,24.8,"Rice, Tomato",Urea + MOP
Lateritic soils (East region),5.4,74.3,11.2,97.7,84.3,29.9,"Yam, Cassava, Cocoyam, Sweet Potato",NPK 20-10-10
Lateritic soils (East region),5.4,85.8,7.9,46.1,75.5,30.5,"Yam, Cassava, Plantain",NPK 20-10-10
"Nitisols (West, Northwest highlands)",6.2,213.8,48.7,192.9,85.5,19.2,"Maize, Arabica Coffee",Urea + DAP
"Nitisols (West, Northwest highlands)",5.7,245.6,54.5,183.5,81.1,20.9,"Carrot, Maize, Beans, Irish Potato",Urea + DAP
"Vertisols (Far North, Diamare plain)",6.9,116.7,11.0,221.2,49.8,40.6,"Sorghum, Cowpea, Millet",DAP + MOP
"Vertisols (Far North, Diamare plain)",7.9,119.4,20.3,205.0,37.2,33.1,"Cowpea, Sorghum",DAP + MOP
Clay soils (Western Highlands),7.0,166.3,24.3,163.8,82.4,20.6,"Irish Potato, Cabbage, Carrot",Urea + DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.9,186.1,44.4,137.8,93.7,19.1,"Cocoa, Banana, Irish Potato, Avocado",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.6,221.2,35.2,137.3,86.9,19.0,"Avocado, Tea, Plantain, Coffee",Urea + DAP + Lime
"Lixisols (Adamawa, North transition)",6.0,106.8,23.5,103.1,72.0,29.2,"Groundnuts, Cassava, Yam, Sorghum",NPK 15-15-15
"Ferralsols (Centre, South forest zone)",5.1,91.6,13.3,74.2,81.8,26.2,"Oil Palm, Cocoa, Banana, Pineapple",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.6,106.8,13.3,191.8,48.6,39.4,"Cowpea, Cotton",DAP + MOP
Clay soils (Western Highlands),7.5,136.1,21.9,152.7,79.0,18.2,"Irish Potato, Lettuce, Tomato",Urea + DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,208.3,46.6,127.7,88.8,18.0,"Avocado, Banana, Tea",Urea + DAP + Lime
Fluvisols (River valleys),6.6,230.8,64.5,186.3,78.2,26.6,"Pepper, Rice, Maize, Tomato",Balanced NPK
Sandy soils (Far North),6.3,37.7,11.8,202.3,36.4,34.2,"Onion, Sesame, Sorghum",DAP + MOP
Clay soils (Western Highlands),7.2,142.5,23.2,201.9,78.5,21.0,"Tomato, Irish Potato",Urea + DAP + MOP
"Vertisols (Far North, Diamare plain)",8.0,95.0,16.5,214.0,49.3,41.1,"Cotton, Sesame",DAP + MOP
"Ferralsols (Centre, South forest zone)",5.2,109.3,9.7,89.2,90.9,25.0,"Banana, Plantain",Urea + DAP + Lime
Lateritic soils (East region),4.8,89.5,9.6,71.5,80.9,26.1,"Cassava, Groundnuts",NPK 20-10-10
"Lixisols (Adamawa, North transition)",5.7,124.1,23.1,112.2,67.9,27.6,"Yam, Cowpea, Cassava",NPK 15-15-15
"Lixisols (Adamawa, North transition)",5.1,82.7,10.6,80.6,68.0,26.9,"Maize, Yam, Cassava",NPK 15-15-15
Sandy soils (Far North),6.9,54.2,13.0,237.2,38.3,39.6,"Millet, Watermelon, Onion, Sorghum",DAP + MOP
Lateritic soils (East region),4.9,73.9,15.5,81.3,86.1,30.9,"Cocoyam, Cassava, Sweet Potato, Groundnuts",NPK 20-10-10
"Ferralsols (Centre, South forest zone)",5.0,98.9,7.3,53.5,90.4,25.8,"Plantain, Pineapple, Oil Palm, Cassava",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",6.4,219.6,46.8,212.6,82.4,22.4,"Carrot, Cabbage, Arabica Coffee, Maize",Urea + DAP
"Hydromorphic soils (Coastal, Littoral)",5.5,224.2,25.6,99.9,94.8,27.8,"Taro, Sugarcane, Banana, Rice",Urea + DAP
"Lixisols (Adamawa, North transition)",5.0,75.2,10.3,120.3,70.6,24.9,"Groundnuts, Sorghum, Yam, Cassava",NPK 15-15-15
Black soils (Mbam valley),7.2,208.1,31.8,43.5,79.6,25.5,"Rice, Soybeans, Maize",Urea + MOP
"Lixisols (Adamawa, North transition)",5.5,74.7,17.0,102.9,57.4,24.3,"Sorghum, Cowpea, Maize",NPK 15-15-15
Lateritic soils (East region),5.1,93.2,5.1,63.6,74.8,29.5,"Sweet Potato, Groundnuts, Yam, Cocoyam",NPK 20-10-10
"Nitisols (West, Northwest highlands)",6.2,176.7,42.9,223.1,86.0,18.7,"Beans, Carrot, Maize, Cabbage",Urea + DAP
"Hydromorphic soils (Coastal, Littoral)",4.8,173.3,39.0,133.4,91.2,29.8,"Oil Palm, Plantain, Sugarcane",Urea + DAP
"Arenosols (Far North, Sahel fringe)",6.9,45.1,10.1,53.1,35.7,34.1,"Cowpea, Millet",Urea + MOP
"Ferralsols (Centre, South forest zone)",5.2,102.1,7.0,53.2,78.3,26.8,"Cocoa, Cassava, Pineapple, Oil Palm",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,177.3,40.7,141.0,96.2,20.2,"Cocoa, Avocado",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.7,154.3,15.3,240.7,36.8,41.9,"Sesame, Millet, Cotton",DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",5.3,185.1,37.2,143.1,95.7,24.4,"Taro, Banana, Plantain, Sugarcane",Urea + DAP
"Arenosols (Far North, Sahel fringe)",6.5,51.1,7.8,54.4,43.7,41.3,"Watermelon, Sesame",Urea + MOP
Clay soils (Western Highlands),7.3,146.2,42.7,186.5,78.8,20.8,"Lettuce, Carrot",Urea + DAP + MOP
"Nitisols (West, Northwest highlands)",5.9,198.4,50.8,224.0,84.9,20.5,"Cabbage, Beans, Irish Potato, Arabica Coffee",Urea + DAP
"Volcanic Andosols (NW, Mt. Cameroon)",4.6,246.7,48.5,116.3,87.4,16.9,"Tea, Coffee, Plantain",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",7.4,58.2,7.9,61.2,42.3,37.8,"Watermelon, Sesame, Millet",Urea + MOP
"Nitisols (West, Northwest highlands)",6.0,219.6,43.3,182.1,87.1,20.0,"Maize, Carrot, Arabica Coffee",Urea + DAP
"Vertisols (Far North, Diamare plain)",7.2,152.1,12.2,264.3,44.4,32.3,"Sorghum, Cotton, Sesame, Millet",DAP + MOP
"Lixisols (Adamawa, North transition)",5.7,77.8,20.0,71.4,57.3,29.8,"Yam, Groundnuts, Cassava",NPK 15-15-15
Black soils (Mbam valley),6.7,221.5,43.1,70.1,75.4,29.8,"Maize, Soybeans, Vegetables, Pepper",Urea + MOP
"Lixisols (Adamawa, North transition)",5.9,74.8,15.2,67.6,63.8,29.4,"Yam, Cassava, Maize",NPK 15-15-15
Black soils (Mbam valley),7.2,183.0,50.8,77.1,81.4,25.2,"Vegetables, Tomato, Soybeans, Maize",Urea + MOP
Clay soils (Western Highlands),6.7,159.7,32.3,173.0,90.4,20.8,"Maize, Beans, Lettuce",Urea + DAP + MOP
Fluvisols (River valleys),6.6,187.1,49.0,239.1,82.9,29.9,"Okra, Vegetables, Pepper",Balanced NPK
Clay soils (Western Highlands),6.9,206.3,37.3,205.2,76.6,18.3,"Carrot, Cabbage",Urea + DAP + MOP
"Ferralsols (Centre, South forest zone)",4.8,113.0,8.0,90.9,90.0,27.4,"Cocoa, Banana",Urea + DAP + Lime
Lateritic soils (East region),5.4,84.5,7.5,56.0,85.5,29.7,"Yam, Cocoyam, Sweet Potato",NPK 20-10-10
"Nitisols (West, Northwest highlands)",5.7,201.5,50.8,181.8,83.2,21.3,"Cabbage, Irish Potato",Urea + DAP
Black soils (Mbam valley),6.3,154.6,47.7,77.6,72.2,28.6,"Rice, Maize, Pepper",Urea + MOP
"Nitisols (West, Northwest highlands)",5.7,171.3,40.1,214.9,89.0,22.1,"Carrot, Irish Potato, Maize",Urea + DAP
"Ferralsols (Centre, South forest zone)",5.2,100.4,6.5,77.0,89.7,25.0,"Plantain, Oil Palm, Banana",Urea + DAP + Lime
Fluvisols (River valleys),6.3,254.5,51.6,230.1,86.9,24.6,"Maize, Okra, Rice, Pepper",Balanced NPK
"Ferralsols (Centre, South forest zone)",4.4,90.0,14.2,72.8,90.8,27.3,"Pineapple, Oil Palm, Plantain, Banana",Urea + DAP + Lime
Clay soils (Western Highlands),6.9,202.0,30.6,193.9,85.4,22.2,"Maize, Irish Potato",Urea + DAP + MOP
Lateritic soils (East region),4.8,88.5,15.3,96.9,78.9,26.4,"Cassava, Groundnuts, Plantain, Yam",NPK 20-10-10
Fluvisols (River valleys),6.4,201.8,51.1,207.8,82.0,30.0,"Vegetables, Maize, Rice, Tomato",Balanced NPK
Black soils (Mbam valley),6.5,162.7,47.7,68.6,81.8,27.7,"Pepper, Vegetables",Urea + MOP
Fluvisols (River valleys),5.9,221.6,48.7,182.3,73.1,25.6,"Okra, Pepper, Beans",Balanced NPK
"Hydromorphic soils (Coastal, Littoral)",5.4,223.4,24.0,124.7,88.5,25.4,"Taro, Rice, Banana, Sugarcane",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.5,61.8,9.3,49.6,24.4,40.0,"Watermelon, Cowpea",Urea + MOP
"Hydromorphic soils (Coastal, Littoral)",5.6,177.0,33.3,92.4,91.5,26.5,"Oil Palm, Taro, Plantain, Banana",Urea + DAP
"Ferralsols (Centre, South forest zone)",4.4,126.7,8.8,97.1,87.1,26.9,"Pineapple, Cassava",Urea + DAP + Lime
"Lixisols (Adamawa, North transition)",5.2,104.5,18.0,72.8,67.3,28.2,"Cassava, Yam, Maize, Cowpea",NPK 15-15-15
Sandy soils (Far North),7.0,49.7,8.5,235.2,29.3,34.5,"Onion, Sorghum",DAP + MOP
Clay soils (Western Highlands),6.8,157.4,25.6,152.4,86.1,18.3,"Maize, Tomato, Cabbage, Lettuce",Urea + DAP + MOP
"Vertisols (Far North, Diamare plain)",7.8,122.1,16.2,205.9,45.7,31.1,"Cotton, Groundnuts, Sesame",DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",5.6,222.7,38.1,118.5,89.6,25.9,"Taro, Plantain, Sugarcane",Urea + DAP
"Ferralsols (Centre, South forest zone)",4.4,127.3,14.3,61.1,91.1,26.3,"Cocoa, Banana, Cassava",Urea + DAP + Lime
Clay soils (Western Highlands),6.7,143.8,36.5,159.9,79.1,17.6,"Cabbage, Beans, Tomato, Maize",Urea + DAP + MOP
"Vertisols (Far North, Diamare plain)",7.7,108.7,8.5,234.7,37.2,41.3,"Cotton, Sorghum, Sesame",DAP + MOP
Fluvisols (River valleys),6.9,206.9,42.5,174.1,86.9,29.7,"Okra, Maize",Balanced NPK
Clay soils (Western Highlands),7.6,144.5,42.4,183.7,90.3,19.2,"Beans, Carrot, Tomato",Urea + DAP + MOP
Lateritic soils (East region),5.0,62.2,17.0,53.3,80.2,30.9,"Groundnuts, Sweet Potato, Plantain, Yam",NPK 20-10-10
Black soils (Mbam valley),7.3,221.4,31.4,74.9,77.7,30.0,"Vegetables, Maize, Soybeans",Urea + MOP
"Nitisols (West, Northwest highlands)",5.9,177.9,52.6,193.7,86.7,22.6,"Carrot, Maize, Arabica Coffee, Irish Potato",Urea + DAP
Lateritic soils (East region),5.2,68.5,10.3,80.4,85.2,28.7,"Groundnuts, Cocoyam, Plantain, Sweet Potato",NPK 20-10-10
Clay soils (Western Highlands),7.1,154.4,29.7,198.6,86.7,20.0,"Cabbage, Carrot, Lettuce",Urea + DAP + MOP
Fluvisols (River valleys),6.6,233.5,63.8,206.9,81.9,28.2,"Okra, Tomato, Pepper, Maize",Balanced NPK
Clay soils (Western Highlands),7.2,140.5,38.9,168.0,83.0,19.7,"Cabbage, Lettuce, Carrot",Urea + DAP + MOP
Clay soils (Western Highlands),7.4,155.2,26.3,187.8,89.6,21.0,"Lettuce, Tomato",Urea + DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.1,50.4,5.6,72.5,27.5,40.1,"Groundnuts, Watermelon, Sesame, Millet",Urea + MOP
Clay soils (Western Highlands),7.0,178.0,31.3,160.9,90.3,19.9,"Carrot, Maize, Irish Potato",Urea + DAP + MOP
"Nitisols (West, Northwest highlands)",6.0,249.1,49.0,182.7,86.5,19.0,"Maize, Irish Potato, Cabbage",Urea + DAP
Black soils (Mbam valley),7.3,187.0,32.7,73.8,73.8,29.2,"Soybeans, Rice, Tomato, Maize",Urea + MOP
"Nitisols (West, Northwest highlands)",5.8,242.0,39.5,195.6,88.5,19.1,"Irish Potato, Maize, Beans",Urea + DAP
Black soils (Mbam valley),6.9,199.7,30.7,49.7,76.1,29.0,"Pepper, Soybeans, Vegetables, Rice",Urea + MOP
Black soils (Mbam valley),6.6,168.1,56.0,40.8,81.0,25.0,"Tomato, Pepper, Rice",Urea + MOP
"Lixisols (Adamawa, North transition)",5.7,125.1,12.7,86.4,59.4,24.8,"Maize, Groundnuts, Yam",NPK 15-15-15
"Volcanic Andosols (NW, Mt. Cameroon)",4.4,235.4,47.2,193.2,88.7,18.8,"Coffee, Irish Potato",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",4.9,218.7,42.4,153.2,88.0,28.3,"Rice, Sugarcane",Urea + DAP
Black soils (Mbam valley),6.6,148.4,35.4,45.6,79.0,24.6,"Tomato, Pepper, Maize",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.0,179.3,35.7,158.2,96.6,19.7,"Avocado, Cocoa, Banana",Urea + DAP + Lime
Sandy soils (Far North),6.5,48.6,8.3,185.4,29.7,33.0,"Cowpea, Watermelon, Millet, Sorghum",DAP + MOP
Sandy soils (Far North),6.2,66.2,8.9,213.1,26.9,36.9,"Millet, Sesame",DAP + MOP
"Arenosols (Far North, Sahel fringe)",6.9,54.3,6.9,77.0,34.2,39.3,"Onion, Watermelon",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,226.6,34.8,171.1,95.1,20.6,"Plantain, Cocoa, Irish Potato, Tea",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",4.3,96.1,13.0,92.7,93.3,26.1,"Banana, Pineapple, Cocoa, Plantain",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",5.7,186.3,51.4,226.2,84.5,18.5,"Maize, Irish Potato, Carrot, Beans",Urea + DAP
Sandy soils (Far North),6.7,51.2,8.3,232.3,27.0,36.3,"Onion, Millet, Watermelon",DAP + MOP
Clay soils (Western Highlands),7.0,190.5,23.2,175.8,87.3,20.0,"Carrot, Lettuce, Beans",Urea + DAP + MOP
